Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Land transport and transport via pipelines,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Land transport and transport via pipelines,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Land transport and transport via pipelines,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of wearing apparel,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Manufacture of textiles,ISIC Division,Manufacture of textiles,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of textiles,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Manufacture of textiles,ISIC Division,Manufacture of wearing apparel,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Manufacture of wearing apparel,ISIC Division,Land transport and transport via pipelines,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Manufacture of textiles,ISIC Division,Land transport and transport via pipelines,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Sewerage,Sewerage,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Real estate activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Food and beverage service activities,ISIC Division,Food and beverage service activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Accommodation,ISIC Division,Accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Food and beverage service activities,ISIC Division,Food and beverage service activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Accommodation,ISIC Division,Accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Food and beverage service activities,ISIC Division,Food and beverage service activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Accommodation,ISIC Division,Accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Food and beverage service activities,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Accommodation,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Food and beverage service activities,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Accommodation,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Food and beverage service activities,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Accommodation,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Food and beverage service activities,ISIC Division,Specialized construction activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Food and beverage service activities,ISIC Division,Construction of buildings,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Food and beverage service activities,ISIC Division,Civil engineering,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Accommodation,ISIC Division,Specialized construction activities,ISIC Division
